DIST_CD,OUTLET_UID_EDITED,pepsi_top_city_name,outlet_code,outlet_name,channel,latitude,longitude,state,district,taluk,city_village,sector,nbrhd,sub_channel_name,nearest_pepsi_distributor_name,nearest_pepsi_distributer_distance_in_km,distance_to_nearest_school_in_km,distance_to_nearest_college_in_km,distance_to_nearest_large_office_in_km,distance_to_nearest_liqour_str_in_km,distance_to_nearest_bus_stn_in_km,distance_to_nearest_train_stn_in_km,distance_to_nearest_malls,distance_to_nearest_theatres,distance_to_nearest_temple,distance_to_nearest_church,distance_to_nearest_mosque,distance_to_nearest_gurdwara,distance_to_nearest_jain_temple,no_of_schools_in_a_1_km_radius,no_of_schools_in_a_2_km_radius,no_of_schools_in_a_3_km_radius,no_of_colleges_in_a_1_km_radius,no_of_colleges_in_a_2_km_radius,no_of_colleges_in_a_3_km_radius,sec_a1_hhs,sec_a2_hhs,sec_a3_hhs,sec_b1_hhs,sec_b2_hhs,sec_c1_hhs,sec_c2_hhs,sec_d1_hhs,sec_d2_hhs,sec_e1_hhs,sec_e2_hhs,sec_e3_hhs,3_member_hhs,4_member_hhs,5+_member_hhs,estmtd_daily_footfall_tag,no_of_single_floor_bldgs,no_of_two_floor_bldgs,no_of_three_four_floors_bldgs,no_of_abv_five_floors_bldgs,nbrhd_per_capita_income,chocolates_avlblty,biscuits_avlblty,noodles_avlblty,protein_bars_avlblty,oats_avlblty,premium_category_sold,premium_snacks_sold,western_salty_lead_pack,chocolates_lead_pack,biscuits_lead_pack,noodles_lead_pack,store_format,urban_vs_periphery_tagging,distnc_from_city_boundary_km,cooler_available,store_size,store_size_bracket,store size tagging,DB State,Top City,BI,LAYS LARGE 20,DORITOS SMALL 5,CHEETOS MEDIUM 10,QUAKER >L >273,KURKURE MEDIUM 10,DORITOS MEDIUM 10,LAYS SMALL 5,DORITOS LARGE 20,KURKURE >L >30,PROMO>L >30,UNCLE CHIPPS SMALL 5,QUAKER SMALL <99,QUAKER MEDIUM 79-460,UNCLE CHIPPS LARGE 20,QUAKER LARGE 189-380,DORITOS >L >30,KURKURE LARGE 20,UNCLE CHIPPS MEDIUM 10,LAYS >L >30,CHEETOS >L >30,KURKURE SMALL 5,LAYS MEDIUM 10,UNCLE CHIPPS >L >30,KKNMK >L >30,CHEETOS SMALL 5,KKNMK SMALL 5,KKNMK MEDIUM 10,TOTAL_REVENUE,VPO,AVG_SKU,ACTIVE_MONTHS,COHORT,SUB_CHANNEL,sec_a_hhs,sec_b_hhs,sec_c_hhs,sec_d_hhs,sec_e_hhs,distance_to_nearest_religious_place,distance_to_nearest_educational_institute_in_km,distance_to_nearest_transport_stn_in_km,distance_to_nearest_commercial_place,no_of_educational_institute_in_a_1_km_radius,vpo_percentile,priority_bucket,estmtd_daily_footfall_numeric,cooler_available_bin,BI_bin,is_modern_trade,is_urban,predicted_potential_vpo,opportunity_gap,gap_pct_of_potential,has_upside,priority,gap_rank_within_bucket,cooler_available_num,chocolates_avlblty_num,biscuits_avlblty_num,noodles_avlblty_num,protein_bars_avlblty_num,oats_avlblty_num,premium_category_sold_num,premium_snacks_sold_num,BI_num,store_size_bracket_num,western_salty_lead_pack_num,chocolates_lead_pack_num,biscuits_lead_pack_num,is_urban_sector,priority_bucket_num,cluster,segment_label,segment_description,segment_action
117030.0,2393156,,2393156,Jalaram Bakery,Retail,21.500886,70.426322,Gujarat,Junagadh,Junagadh,Junagadh,Urban,Junagadh,Bakery (Stand-alone),Everest Agency,2.7,0.28,0.13,65.05,2.6,26.4,4.55,25.91,0.16,0.16,0.16,0.16,0.16,0.16,8,15,34,3.0,3.0,5.0,562.0,1164.0,4032.0,3221.0,9217.0,14278.0,8714.0,10842.0,8049.0,3277.0,3169.0,1585.0,13829.0,23948.0,36175.0,High (>100),,,,,209919.0,Yes,Yes,No,No,No,Yes,Yes,Rs. 10,Rs. 10,Rs. 10,,GT,,,Yes,190.0,<200 sqft,Micro Outlet,GUJARAT,Balance,yes,6042.6819,,,,22118.1597,272.727,,,,,,,,,,,218.1816,,,,,418.1814,,,,,,29069.9316,2422.4943,3.83,12,GUJARAT,Retail,1919.3333333333333,6219.0,11496.0,9445.5,2677.0,0.16,0.13,4.55,0.16,11.0,57.36,C,150.0,1.0,1,0.0,0.0,1325.47,-1097.02,-82.8,False,C,2942.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,1.0,10.0,10.0,10.0,1.0,2,0,Urban Kirana Cold Beverage & Premium Impulse,"These are small, urban kiranas and bakeries with high cooler penetration, serving a mixed-income demographic. Shoppers seek convenient, often chilled, beverages and snacks for immediate consumption, with a notable demand for premium options. High footfall and school proximity indicate consistent impulse purchase opportunities.","Optimize chiller assortment with a mix of core and premium chilled beverages, ensuring high visibility and regular stock rotation to capture impulse purchases."
114235.0,2285268,,2285268,Monu Kirana Store,Retail,25.198133,76.01524,Rajasthan,Kota,Digod,Padliya,Rural,,Kirana Str,Danmal Chetankumar Jain,16.64,140.48,9.75,23.1,4.48,277.96,6.71,15.79,7.98,7.98,7.98,7.98,7.98,7.98,1,3,8,0.0,0.0,0.0,1.0,0.0,0.0,43.0,30.0,36.0,47.0,41.0,63.0,31.0,34.0,14.0,36.0,89.0,186.0,Low (<30),0.0,0.0,0.0,0.0,109119.0,Yes,Yes,Yes,No,Yes,Yes,No,Rs. 20,>Rs. 20,Rs. 20,Rs. 20,GT,,,Yes,100.0,<200 sqft,Micro Outlet,RAJASTHAN,Kota,yes,8843.4702,,,,6072.326,363.636,9.1744,72.7272,,,41.0836,,,799.9992,,,5418.1764,72.332,54.5454,,32.1104,15824.8857,,,,,,37604.4665,3133.705542,14.08,12,North India,Retail,0.3333333333333333,36.5,41.5,52.0,26.33333333333333,7.98,9.75,6.71,7.98,1.0,67.88,B,15.0,1.0,1,0.0,0.0,4466.9,1333.2,29.8,True,B+,853.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,20.0,,20.0,0.0,3,0,Urban Kirana Cold Beverage & Premium Impulse,"These are small, urban kiranas and bakeries with high cooler penetration, serving a mixed-income demographic. Shoppers seek convenient, often chilled, beverages and snacks for immediate consumption, with a notable demand for premium options. High footfall and school proximity indicate consistent impulse purchase opportunities.","Optimize chiller assortment with a mix of core and premium chilled beverages, ensuring high visibility and regular stock rotation to capture impulse purchases."
119671.0,1942444,Mumbai,1942444,Juned Store,Retail,19.057555,72.840685,Maharashtra,Mumbai (Combined),Mumbai,Mumbai (Grtr),Urban,Bandra E.,Kirana Str,Viren Marketing,2.63,0.04,0.4,0.44,0.15,0.35,0.3,0.58,0.18,0.46,0.19,0.19,0.19,0.18,24,80,164,22.0,46.0,66.0,617.0,507.0,517.0,1177.0,840.0,1176.0,1378.0,1504.0,1214.0,308.0,115.0,231.0,1472.0,2196.0,3937.0,High (>100),79.0,712.0,609.0,127.0,373426.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Rs. 10,Rs. 10,Rs. 10,Rs. 15,GT,Urban,1.0,Yes,90.0,<200 sqft,Micro Outlet,MAHARASHTRA,Mumbai,yes,,,218.1816,,20479.8256,909.09,5250.0525,,,,,,,,,,,7008.69,,,11231.9305,41352.1407,,,,,,86449.9109,7204.159242,17.67,12,MAHARASHTRA,Retail,547.0,1008.5,1277.0,1359.0,218.0,0.18,0.04,0.3,0.18,46.0,89.78,A,150.0,1.0,1,0.0,1.0,5086.95,-2117.21,-41.6,False,A,1115.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,10.0,10.0,10.0,1.0,4,0,Urban Kirana Cold Beverage & Premium Impulse,"These are small, urban kiranas and bakeries with high cooler penetration, serving a mixed-income demographic. Shoppers seek convenient, often chilled, beverages and snacks for immediate consumption, with a notable demand for premium options. High footfall and school proximity indicate consistent impulse purchase opportunities.","Optimize chiller assortment with a mix of core and premium chilled beverages, ensuring high visibility and regular stock rotation to capture impulse purchases."
112985.0,2290494,Hyderabad,2290494,Ramakrishna Mithai Bhandar,Retail,17.518518,78.62737,Telangana,Medchal-Malkajgiri,Keesara,Cheeriyal,Rural,,Sweet Shop (Stand-alone),Anurag Enterprises,4.06,0.45,7.71,7.77,3.56,5.27,7.12,6.77,5.89,6.77,5.89,6.65,0.0,5.89,4,14,22,0.0,0.0,0.0,18.0,17.0,15.0,47.0,9.0,120.0,189.0,170.0,293.0,96.0,78.0,28.0,176.0,357.0,377.0,Low (<30),0.0,0.0,0.0,0.0,223522.0,Yes,Yes,No,No,No,No,No,Rs. 10,Rs. 10,Rs. 10,,GT,Periphery,4.7,Yes,135.0,<200 sqft,Micro Outlet,TELANGANA,Hyderabad,yes,,,90.909,,4609.0863,272.727,782.91,,,,,,,,,,,181.818,,,443.4572,7272.72,,,,,,13653.6275,1241.238864,10.45,11,South India,Retail,16.666666666666668,28.0,154.5,231.5,67.33333333333333,0.0,0.45,5.27,5.89,4.0,30.15,C,15.0,1.0,1,0.0,0.0,3449.89,2208.66,64.0,True,C+,639.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,10.0,10.0,10.0,0.0,2,0,Urban Kirana Cold Beverage & Premium Impulse,"These are small, urban kiranas and bakeries with high cooler penetration, serving a mixed-income demographic. Shoppers seek convenient, often chilled, beverages and snacks for immediate consumption, with a notable demand for premium options. High footfall and school proximity indicate consistent impulse purchase opportunities.","Optimize chiller assortment with a mix of core and premium chilled beverages, ensuring high visibility and regular stock rotation to capture impulse purchases."
115471.0,136878,Bengaluru,136878,Iyangar Bakery,Retail,12.881957,77.566139,Karnataka,Bengaluru Urban,Bengaluru,Bengaluru,Urban,Anjanapura,Bakery (Stand-alone),Nsm Agencies,2.94,0.17,0.12,4.02,0.18,0.08,1.63,0.98,0.08,0.08,0.08,0.08,0.08,0.08,18,64,141,2.0,5.0,36.0,103.0,78.0,94.0,185.0,155.0,251.0,248.0,238.0,220.0,67.0,34.0,46.0,400.0,545.0,490.0,Low (<30),0.0,0.0,0.0,0.0,367907.0,Yes,Yes,No,No,No,No,No,Rs. 10,Rs. 10,Rs. 10,,GT,Urban,2.7,Yes,150.0,<200 sqft,Micro Outlet,KARNATAKA,Bengaluru,yes,,,,,3728.8524,,7276.6665,,,,,,,,,,,,,,2435.1315,12053.7456,,,,,,25494.396,2124.533,10.83,12,West India,Retail,91.66666666666669,170.0,249.5,229.0,49.0,0.08,0.12,0.08,0.08,20.0,52.1,C,15.0,1.0,1,0.0,1.0,3232.62,1108.09,34.3,True,C+,1677.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,10.0,10.0,10.0,1.0,2,0,Urban Kirana Cold Beverage & Premium Impulse,"These are small, urban kiranas and bakeries with high cooler penetration, serving a mixed-income demographic. Shoppers seek convenient, often chilled, beverages and snacks for immediate consumption, with a notable demand for premium options. High footfall and school proximity indicate consistent impulse purchase opportunities.","Optimize chiller assortment with a mix of core and premium chilled beverages, ensuring high visibility and regular stock rotation to capture impulse purchases."
119683.0,2655008,,2655008,Yogi Bakers,AFH - Others,27.1587886,77.2877447,Rajasthan,Bharatpur,Nadbai,Paharsar,Rural,,Bakery (Stand-alone),Bs Traders,9.51,4.02,19.04,77.3,5.01,212.92,7.76,123.68,48.49,123.68,123.68,123.68,123.68,123.68,4,10,19,0.0,0.0,0.0,1.0,3.0,6.0,10.0,1.0,47.0,76.0,104.0,144.0,81.0,87.0,35.0,46.0,85.0,403.0,Low (<30),0.0,0.0,0.0,0.0,79502.0,Yes,Yes,No,No,No,No,No,Rs. 10,Rs. 10,Rs. 10,,GT,,,Yes,310.0,300–600 sqft,Core Outlet,RAJASTHAN,Balance,yes,,,,,636.363,,412.848,,,,,,,,,,356.815,545.454,,,412.848,909.09,,,,,,3273.418,1091.139333,3.67,3,North India,OPSC21-AFH - Others,3.333333333333333,5.5,61.5,124.0,67.66666666666667,123.68,4.02,7.76,48.49,4.0,25.6,D,15.0,1.0,1,0.0,0.0,1888.36,797.22,42.2,True,D+,1972.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,,10.0,10.0,10.0,0.0,1,0,Urban Kirana Cold Beverage & Premium Impulse,"These are small, urban kiranas and bakeries with high cooler penetration, serving a mixed-income demographic. Shoppers seek convenient, often chilled, beverages and snacks for immediate consumption, with a notable demand for premium options. High footfall and school proximity indicate consistent impulse purchase opportunities.","Optimize chiller assortment with a mix of core and premium chilled beverages, ensuring high visibility and regular stock rotation to capture impulse purchases."
117829.0,2405831,Mumbai,2405831,Life Care Medical,Retail,19.205005,72.873725,Maharashtra,Mumbai (Combined),Mumbai,Mumbai (Grtr),Urban,Kandivali E.,Chemist (Stand-alone),Manjushri Enterprise,5.04,0.11,0.1,3.21,0.13,0.2,2.27,0.47,0.11,0.17,0.11,0.17,0.11,0.11,18.0,54.0,114.0,15.0,21.0,36.0,381.0,319.0,334.0,822.0,582.0,828.0,912.0,948.0,761.0,226.0,90.0,148.0,1144.0,1691.0,2521.0,High (>100),296.0,850.0,159.0,81.0,317806.0,Yes,Yes,No,No,Yes,No,No,Rs. 10,Rs. 10,Rs. 10,,GT,Urban,3.4,Yes,90.0,<200 sqft,Micro Outlet,MAHARASHTRA,Mumbai,yes,,,,,2525.692,,,,,,,,,,,,,,,,,2999.997,,,,,,5525.689,789.384143,4.0,7,MAHARASHTRA,Retail,344.6666666666667,702.0,870.0,854.5,154.66666666666666,0.11,0.1,0.2,0.11,33.0,16.68,D,150.0,1.0,1,0.0,1.0,1091.36,301.98,27.7,True,D+,2550.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,10.0,10.0,10.0,1.0,1,0,Urban Kirana Cold Beverage & Premium Impulse,"These are small, urban kiranas and bakeries with high cooler penetration, serving a mixed-income demographic. Shoppers seek convenient, often chilled, beverages and snacks for immediate consumption, with a notable demand for premium options. High footfall and school proximity indicate consistent impulse purchase opportunities.","Optimize chiller assortment with a mix of core and premium chilled beverages, ensuring high visibility and regular stock rotation to capture impulse purchases."
121042.0,2166706,,2166706,Sahil Saurav Juice Bar Landran (1911),Retail,30.68982,76.66506,Punjab,Rupnagar,S.A.S.Nagar (Mohali),Landran,Rural,,Juice Centr,Mehta Traders,3.44,0.43,0.3,23.45,1.07,53.0,4.91,4.92,0.56,4.92,4.92,4.92,0.56,0.56,2,7,18,9.0,9.0,9.0,22.0,27.0,31.0,31.0,8.0,58.0,89.0,55.0,125.0,29.0,19.0,7.0,49.0,119.0,281.0,Low (<30),0.0,0.0,0.0,0.0,106372.0,Yes,Yes,No,No,No,No,No,Rs. 10,Rs. 10,Rs. 5,,GT,,,Yes,105.0,<200 sqft,Micro Outlet,PUNJAB,Balance,yes,13890.8952,,,,5064.0304,818.181,,2709.0882,272.727,,,,,3199.9968,,1145.4534,13205.523,1136.3625,2281.8159,222.222,45.455,7316.9928,481.481,,,,,51790.2242,4708.2022,24.82,11,North India,Retail,26.666666666666668,19.5,73.5,90.0,18.33333333333333,0.56,0.3,4.91,0.56,11.0,80.84,A,15.0,1.0,1,0.0,0.0,7463.61,2755.41,36.9,True,A+,110.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,10.0,10.0,5.0,0.0,4,0,Urban Kirana Cold Beverage & Premium Impulse,"These are small, urban kiranas and bakeries with high cooler penetration, serving a mixed-income demographic. Shoppers seek convenient, often chilled, beverages and snacks for immediate consumption, with a notable demand for premium options. High footfall and school proximity indicate consistent impulse purchase opportunities.","Optimize chiller assortment with a mix of core and premium chilled beverages, ensuring high visibility and regular stock rotation to capture impulse purchases."
112172.0,S01461788,,S01461788,Regi Kumar Maligai,Retail,8.1891743,77.2396453,Tamil Nadu,Kanniyakumari,Kalkulam,Reethapuram,Urban,Reethapuram,Kirana Str,Alwin Agnecy,1.46,0.44,3.71,143.01,0.0,1.95,7.98,72.79,13.06,72.79,72.45,72.45,0.0,72.45,5,16,30,0.0,0.0,0.0,13.0,73.0,194.0,297.0,650.0,951.0,867.0,1075.0,718.0,230.0,95.0,47.0,996.0,2071.0,2247.0,High (>100),0.0,0.0,0.0,0.0,90055.0,Yes,Yes,Yes,No,Yes,No,No,Rs. 10,Rs. 10,Rs. 10,Rs. 15,GT,,,No,150.0,<200 sqft,Micro Outlet,TAMIL NADU,Balance,yes,1418.1804,,,,109.0908,,9032.2798,,,,,,2345.454,,,,327.2724,,,,5297.8672,5894.8565,,,,,,24425.0011,2035.416758,12.0,12,South India,Retail,93.33333333333331,473.5,909.0,896.5,124.0,0.0,0.44,1.95,13.06,5.0,50.53,C,150.0,0.0,1,0.0,0.0,3420.92,1385.51,40.5,True,C+,1376.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1.0,10.0,10.0,10.0,1.0,2,0,Urban Kirana Cold Beverage & Premium Impulse,"These are small, urban kiranas and bakeries with high cooler penetration, serving a mixed-income demographic. Shoppers seek convenient, often chilled, beverages and snacks for immediate consumption, with a notable demand for premium options. High footfall and school proximity indicate consistent impulse purchase opportunities.","Optimize chiller assortment with a mix of core and premium chilled beverages, ensuring high visibility and regular stock rotation to capture impulse purchases."
102112.0,2633736,Shahjahanpur,2633736,Baba Manokarn Gen Store,Retail,27.85924887,79.92635937,Uttar Pradesh,Shahjahanpur,Shahjahanpur,Shahjahanpur,Urban,,Kirana Str,Mohit Brothers-Shajhanpur,7.72,0.11,3.06,56.38,0.25,4.07,2.97,72.18,2.25,72.18,71.5,71.5,71.5,71.5,17,58,115,0.0,0.0,2.0,34.0,48.0,40.0,57.0,150.0,118.0,135.0,266.0,239.0,136.0,166.0,298.0,150.0,268.0,1124.0,Low (<30),102.0,23.0,6.0,1.0,92850.0,Yes,Yes,Yes,No,Yes,Yes,No,Rs. 10,Rs. 10,Rs. 10,Rs. 15,GT,Periphery,0.1,Yes,110.0,<200 sqft,Micro Outlet,UTTAR PRADESH,Shahjahanpur,yes,3872.7234,,,,2232.8059,,6408.0246,,,,1552.8132,,,,,,,2989.3253,,,2697.8856,7349.7957,,,,,,27103.3737,2710.33737,15.2,10,UTTAR PRADESH,SC05-Retail,40.66666666666666,103.5,126.5,252.5,200.0,71.5,0.11,2.97,2.25,17.0,62.02,B,15.0,1.0,1,0.0,0.0,4405.51,1695.17,38.5,True,B+,685.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,10.0,10.0,10.0,1.0,3,0,Urban Kirana Cold Beverage & Premium Impulse,"These are small, urban kiranas and bakeries with high cooler penetration, serving a mixed-income demographic. Shoppers seek convenient, often chilled, beverages and snacks for immediate consumption, with a notable demand for premium options. High footfall and school proximity indicate consistent impulse purchase opportunities.","Optimize chiller assortment with a mix of core and premium chilled beverages, ensuring high visibility and regular stock rotation to capture impulse purchases."
119765.0,S01188165,,S01188165,Rajarajeshwari Store,Retail,13.350875,74.825429,Karnataka,Udupi,Udupi,Udupi,Urban,,Kirana Str,M/S Adithya Enterprises,6.96,1.08,3.26,45.39,3.38,5.27,6.13,23.77,0.83,1.9,0.83,0.83,0.83,0.83,4,8,9,0.0,0.0,1.0,2834.0,2200.0,2512.0,3193.0,3419.0,4424.0,4410.0,4151.0,4338.0,1181.0,834.0,694.0,7476.0,10885.0,14022.0,Low (<30),0.0,0.0,0.0,0.0,232148.0,Yes,Yes,Yes,No,Yes,Yes,No,Rs. 10,Rs. 10,Rs. 10,Rs. 15,GT,,,Yes,140.0,<200 sqft,Micro Outlet,KARNATAKA,Balance,yes,,,,,6836.3568,90.909,8097.576,,,,,,,,,,,,,,755.0115,37043.448,,,,,,52823.3013,4401.941775,9.75,12,West India,Retail,2515.333333333333,3306.0,4417.0,4244.5,903.0,0.83,1.08,5.27,0.83,4.0,78.91,B,15.0,1.0,1,0.0,0.0,2981.27,-1420.67,-47.7,False,B,1848.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,10.0,10.0,10.0,1.0,3,0,Urban Kirana Cold Beverage & Premium Impulse,"These are small, urban kiranas and bakeries with high cooler penetration, serving a mixed-income demographic. Shoppers seek convenient, often chilled, beverages and snacks for immediate consumption, with a notable demand for premium options. High footfall and school proximity indicate consistent impulse purchase opportunities.","Optimize chiller assortment with a mix of core and premium chilled beverages, ensuring high visibility and regular stock rotation to capture impulse purchases."
112997.0,S01004880,Mangaluru,S01004880,Sri Kalikambha Medical,Retail,12.89134,74.829857,Karnataka,Dakshina Kannada,Mangalore,Mangalore,Urban,Derebail-5 (NE),Chemist (Stand-alone),Alvas Traders,4.35,0.32,0.54,2.3,0.22,0.02,3.43,1.23,0.1,0.1,0.1,0.1,0.1,0.1,11,32,66,10.0,73.0,182.0,169.0,128.0,151.0,234.0,206.0,299.0,308.0,259.0,256.0,42.0,23.0,23.0,490.0,627.0,532.0,Low (<30),207.0,89.0,23.0,10.0,356655.0,Yes,Yes,No,No,Yes,No,No,Rs. 10,Rs. 10,Rs. 10,,GT,,,Yes,155.0,<200 sqft,Micro Outlet,KARNATAKA,Mangaluru,yes,,,,,,,,,,,,490.9095,1094.5452,,572.7273,,,,,,,-136.3635,,,,,,2021.8185,404.3637,2.2,5,West India,Retail,149.33333333333334,220.0,303.5,257.5,29.33333333333333,0.1,0.32,0.02,0.1,21.0,6.13,D,15.0,1.0,1,0.0,0.0,634.1,229.73,36.2,True,D+,2645.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,10.0,10.0,10.0,1.0,1,0,Urban Kirana Cold Beverage & Premium Impulse,"These are small, urban kiranas and bakeries with high cooler penetration, serving a mixed-income demographic. Shoppers seek convenient, often chilled, beverages and snacks for immediate consumption, with a notable demand for premium options. High footfall and school proximity indicate consistent impulse purchase opportunities.","Optimize chiller assortment with a mix of core and premium chilled beverages, ensuring high visibility and regular stock rotation to capture impulse purchases."
121996.0,1708437,Hyderabad,1708437,Sri Ram Sai Medical Hall,Retail,17.348243,78.515703,Telangana,Hyderabad,Hyderabad unassignd,Hyderabad,Urban,Champapet,Chemist (Stand-alone),Santhoshi  Enterprises,2.07,0.05,0.46,2.86,0.23,0.04,2.5,1.91,0.23,0.23,0.23,0.23,0.0,0.23,48,148,348,0.0,27.0,0.0,145.0,177.0,206.0,477.0,482.0,739.0,622.0,531.0,413.0,85.0,63.0,167.0,710.0,1443.0,1481.0,Medium (30 to 100),44.0,66.0,75.0,9.0,145944.0,Yes,Yes,No,No,Yes,No,No,Rs. 10,Rs. 10,Rs. 10,,GT,Urban,0.6,Yes,100.0,<200 sqft,Micro Outlet,TELANGANA,Balance,yes,,,,,5145.4494,545.454,481.656,,,,,,,,,,,363.636,,,550.464,8072.7192,,,,,,15159.3786,1894.922325,10.13,8,South India,Retail,176.0,479.5,680.5,472.0,105.0,0.0,0.05,0.04,0.23,48.0,47.56,C,,1.0,1,0.0,1.0,2743.94,849.02,30.9,True,C+,1934.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,10.0,10.0,10.0,1.0,2,0,Urban Kirana Cold Beverage & Premium Impulse,"These are small, urban kiranas and bakeries with high cooler penetration, serving a mixed-income demographic. Shoppers seek convenient, often chilled, beverages and snacks for immediate consumption, with a notable demand for premium options. High footfall and school proximity indicate consistent impulse purchase opportunities.","Optimize chiller assortment with a mix of core and premium chilled beverages, ensuring high visibility and regular stock rotation to capture impulse purchases."
103735.0,2369583,Mumbai,2369583,Shastri Medico,Retail,19.098522,72.845648,Maharashtra,Mumbai (Combined),Mumbai,Mumbai (Grtr),Urban,Santacruz E.,Chemist (Stand-alone),Viren Marketing,2.29,0.12,0.28,0.29,0.07,0.1,0.21,0.08,0.08,0.08,0.08,0.08,0.08,0.08,24,59,139,34.0,62.0,89.0,399.0,337.0,349.0,746.0,538.0,738.0,833.0,815.0,679.0,175.0,72.0,60.0,1022.0,1447.0,2195.0,High (>100),73.0,313.0,272.0,154.0,341416.0,Yes,Yes,No,No,Yes,Yes,No,Rs. 10,Rs. 10,Rs. 10,,GT,Urban,2.0,Yes,85.0,<200 sqft,Micro Outlet,MAHARASHTRA,Mumbai,yes,49913.7846,,1490.9076,,10527.2622,1454.544,,13301.9634,,,,,,3520.9452,,409.0905,35513.799,527.2722,22099.1885,,,13863.6225,,,,,,152622.3797,12718.531642,31.0,12,MAHARASHTRA,Retail,361.6666666666667,642.0,785.5,747.0,102.33333333333331,0.08,0.12,0.1,0.08,58.0,96.35,A,150.0,1.0,1,0.0,1.0,8879.09,-3839.44,-43.2,False,A,1379.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,10.0,10.0,10.0,1.0,4,0,Urban Kirana Cold Beverage & Premium Impulse,"These are small, urban kiranas and bakeries with high cooler penetration, serving a mixed-income demographic. Shoppers seek convenient, often chilled, beverages and snacks for immediate consumption, with a notable demand for premium options. High footfall and school proximity indicate consistent impulse purchase opportunities.","Optimize chiller assortment with a mix of core and premium chilled beverages, ensuring high visibility and regular stock rotation to capture impulse purchases."
113918.0,2628353,,2628353,Jagtar Canteen,Retail,31.849232,75.681718,Punjab,Hoshiarpur,Dasua,Mian Ka Pind,Rural,,Canteen,M.S Enterprises,1.42,3.12,4.36,38.22,3.76,15.39,3.81,19.65,1.49,19.65,19.65,19.65,1.49,1.49,2,7,15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0,27.0,23.0,42.0,13.0,8.0,3.0,20.0,34.0,70.0,Low (<30),0.0,0.0,0.0,0.0,114856.0,Yes,Yes,No,No,No,No,No,Rs. 10,Rs. 10,Rs. 10,,Institutional ,,,Yes,160.0,<200 sqft,Micro Outlet,PUNJAB,Balance,yes,6218.1756,,,,4354.5411,654.5448,2943.7314,1090.908,,,,,,1145.4534,,136.3635,3909.087,2018.1798,181.818,111.111,1313.941,10836.3528,,,,,,34914.2074,3174.018855,14.36,11,North India,Retail,0.6666666666666666,0.5,21.5,32.5,8.0,1.49,3.12,3.81,1.49,2.0,68.35,B,15.0,1.0,1,0.0,0.0,4559.75,1385.73,30.4,True,B+,825.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,10.0,10.0,10.0,0.0,3,0,Urban Kirana Cold Beverage & Premium Impulse,"These are small, urban kiranas and bakeries with high cooler penetration, serving a mixed-income demographic. Shoppers seek convenient, often chilled, beverages and snacks for immediate consumption, with a notable demand for premium options. High footfall and school proximity indicate consistent impulse purchase opportunities.","Optimize chiller assortment with a mix of core and premium chilled beverages, ensuring high visibility and regular stock rotation to capture impulse purchases."
