DIST_CD,OUTLET_UID_EDITED,pepsi_top_city_name,outlet_code,outlet_name,channel,latitude,longitude,state,district,taluk,city_village,sector,nbrhd,sub_channel_name,nearest_pepsi_distributor_name,nearest_pepsi_distributer_distance_in_km,distance_to_nearest_school_in_km,distance_to_nearest_college_in_km,distance_to_nearest_large_office_in_km,distance_to_nearest_liqour_str_in_km,distance_to_nearest_bus_stn_in_km,distance_to_nearest_train_stn_in_km,distance_to_nearest_malls,distance_to_nearest_theatres,distance_to_nearest_temple,distance_to_nearest_church,distance_to_nearest_mosque,distance_to_nearest_gurdwara,distance_to_nearest_jain_temple,no_of_schools_in_a_1_km_radius,no_of_schools_in_a_2_km_radius,no_of_schools_in_a_3_km_radius,no_of_colleges_in_a_1_km_radius,no_of_colleges_in_a_2_km_radius,no_of_colleges_in_a_3_km_radius,sec_a1_hhs,sec_a2_hhs,sec_a3_hhs,sec_b1_hhs,sec_b2_hhs,sec_c1_hhs,sec_c2_hhs,sec_d1_hhs,sec_d2_hhs,sec_e1_hhs,sec_e2_hhs,sec_e3_hhs,3_member_hhs,4_member_hhs,5+_member_hhs,estmtd_daily_footfall_tag,no_of_single_floor_bldgs,no_of_two_floor_bldgs,no_of_three_four_floors_bldgs,no_of_abv_five_floors_bldgs,nbrhd_per_capita_income,chocolates_avlblty,biscuits_avlblty,noodles_avlblty,protein_bars_avlblty,oats_avlblty,premium_category_sold,premium_snacks_sold,western_salty_lead_pack,chocolates_lead_pack,biscuits_lead_pack,noodles_lead_pack,store_format,urban_vs_periphery_tagging,distnc_from_city_boundary_km,cooler_available,store_size,store_size_bracket,store size tagging,DB State,Top City,BI,LAYS LARGE 20,DORITOS SMALL 5,CHEETOS MEDIUM 10,QUAKER >L >273,KURKURE MEDIUM 10,DORITOS MEDIUM 10,LAYS SMALL 5,DORITOS LARGE 20,KURKURE >L >30,PROMO>L >30,UNCLE CHIPPS SMALL 5,QUAKER SMALL <99,QUAKER MEDIUM 79-460,UNCLE CHIPPS LARGE 20,QUAKER LARGE 189-380,DORITOS >L >30,KURKURE LARGE 20,UNCLE CHIPPS MEDIUM 10,LAYS >L >30,CHEETOS >L >30,KURKURE SMALL 5,LAYS MEDIUM 10,UNCLE CHIPPS >L >30,KKNMK >L >30,CHEETOS SMALL 5,KKNMK SMALL 5,KKNMK MEDIUM 10,TOTAL_REVENUE,VPO,AVG_SKU,ACTIVE_MONTHS,COHORT,SUB_CHANNEL,sec_a_hhs,sec_b_hhs,sec_c_hhs,sec_d_hhs,sec_e_hhs,distance_to_nearest_religious_place,distance_to_nearest_educational_institute_in_km,distance_to_nearest_transport_stn_in_km,distance_to_nearest_commercial_place,no_of_educational_institute_in_a_1_km_radius,vpo_percentile,priority_bucket,estmtd_daily_footfall_numeric,cooler_available_bin,BI_bin,is_modern_trade,is_urban,predicted_potential_vpo,opportunity_gap,gap_pct_of_potential,has_upside,priority,gap_rank_within_bucket,cooler_available_num,chocolates_avlblty_num,biscuits_avlblty_num,noodles_avlblty_num,protein_bars_avlblty_num,oats_avlblty_num,premium_category_sold_num,premium_snacks_sold_num,BI_num,store_size_bracket_num,western_salty_lead_pack_num,chocolates_lead_pack_num,biscuits_lead_pack_num,is_urban_sector,priority_bucket_num,cluster,segment_label,segment_description,segment_action
121112.0,1420959,Mysore,1420959,Mallikarjuna Pro Store,Retail,12.319101,76.627274,Karnataka,Mysore,Mysore,Mysore,Urban,Jayalakshmipuram,Grocry Dept Str (Stand-alone),Shivamurga Distributors,3.56,0.12,0.18,12.61,0.25,0.26,2.0,0.75,0.14,0.14,0.14,0.14,0.14,0.14,12,43,124,22.0,65.0,154.0,115.0,112.0,132.0,215.0,351.0,440.0,495.0,455.0,419.0,81.0,61.0,47.0,499.0,787.0,1288.0,Medium (30 to 100),52.0,45.0,13.0,4.0,111926.0,Yes,Yes,Yes,Yes,Yes,Yes,No,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,1.66555,Yes,500.0,300–600 sqft,Core Outlet,KARNATAKA,Mysuru,yes,690.9084,,,,1836.3618,90.909,1220.529,,,,,,,,,,109.0908,,,,1125.699,3709.0872,,,,,,8782.5852,975.8428,8.22,9,West India,Retail,119.66666666666669,283.0,467.5,437.0,63.0,0.14,0.12,0.26,0.14,34.0,22.11,D,,1.0,1,1.0,1.0,2845.32,1869.47,65.7,True,D+,598.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,,,,,1.0,1,4,Urban Modern Trade Premium Stock-up,"This cluster represents larger, established urban Modern Trade grocery stores with high SKU counts, 100% cooler availability, and significant premium category sales. Serving higher-income households, these outlets are key for planned purchases and stock-up missions. Commercial focus is on range, planogram compliance, and secondary displays for premium and multi-serve formats.","Ensure full range availability of multi-serve and premium SKUs, optimize planogram compliance, and secure secondary display space for promotional activities."
120653.0,2511625,Delhi,2511625,Kishan Mart 1,Retail,28.585017,77.191571,Delhi,Delhi,Delhi,Delhi,Urban,Chanakyapuri,Grocry Dept Str (Stand-alone),Nirman Retail Holdings,8.21,0.4,0.79,1.83,0.98,0.24,0.55,0.11,0.03,0.11,0.11,0.11,0.11,0.11,3,34,83,2.0,11.0,29.0,1676.0,1028.0,1196.0,2189.0,1872.0,2684.0,2676.0,2426.0,2152.0,502.0,399.0,568.0,2898.0,5393.0,7627.0,High (>100),27.0,104.0,94.0,31.0,370820.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,10.61069,Yes,485.0,300–600 sqft,Core Outlet,NEW DELHI,Gurugram,yes,11854.5336,,,,1018.1808,,,,,,,,3752.7264,1327.2714,14127.2734,6734.5424,3109.0878,327.2724,47067.2467,925.925,,881.8173,2377.777,,,,,93503.6542,7791.971183,13.67,12,North India,Retail,1300.0,2030.5,2680.0,2289.0,489.6666666666667,0.11,0.4,0.24,0.03,5.0,90.96,A,150.0,1.0,1,1.0,1.0,4495.17,-3296.8,-73.3,False,A,1299.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,1.0,4,4,Urban Modern Trade Premium Stock-up,"This cluster represents larger, established urban Modern Trade grocery stores with high SKU counts, 100% cooler availability, and significant premium category sales. Serving higher-income households, these outlets are key for planned purchases and stock-up missions. Commercial focus is on range, planogram compliance, and secondary displays for premium and multi-serve formats.","Ensure full range availability of multi-serve and premium SKUs, optimize planogram compliance, and secure secondary display space for promotional activities."
100629.0,S01232901,Kolkata,S01232901,Hify Supermarket,Retail,22.53062,88.401532,West Bengal,Kolkata,Kolkata,Kolkata,Urban,Anandapur,Grocry Dept Str (Stand-alone),Binoy Trading Company,3.04,0.29,1.56,1.54,0.85,0.4,3.06,1.6,0.04,0.98,0.04,0.04,0.04,0.04,7,35,100,0.0,12.0,14.0,68.0,79.0,72.0,183.0,202.0,210.0,242.0,344.0,241.0,106.0,79.0,169.0,442.0,512.0,722.0,Medium (30 to 100),0.0,0.0,0.0,0.0,229186.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,2.1,Yes,595.0,300–600 sqft,Core Outlet,WEST BENGAL,Kolkata,yes,4527.2682,,,,3990.9051,1190.9079,2094.8492,72.7272,,,279.8192,,287.2728,1618.1802,,,1581.8166,2263.6341,,,1127.4504,5318.1765,,,,,,24353.0074,2029.417283,26.42,12,East India,Retail,73.0,192.5,226.0,292.5,118.0,0.04,0.29,0.4,0.04,7.0,50.46,C,,1.0,1,1.0,1.0,8238.41,6209.0,75.4,True,C+,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,1.0,2,4,Urban Modern Trade Premium Stock-up,"This cluster represents larger, established urban Modern Trade grocery stores with high SKU counts, 100% cooler availability, and significant premium category sales. Serving higher-income households, these outlets are key for planned purchases and stock-up missions. Commercial focus is on range, planogram compliance, and secondary displays for premium and multi-serve formats.","Ensure full range availability of multi-serve and premium SKUs, optimize planogram compliance, and secure secondary display space for promotional activities."
121723.0,S00884367,Ranchi,S00884367,Fresh Garden,Retail,23.388277,85.332692,Jharkhand,Ranchi,Kanke,Ranchi,Urban,Bhoram Toli,Grocry Dept Str (Stand-alone),Shubham Traders - Rd,2.5,0.06,0.92,1.51,0.05,0.0,4.33,0.38,0.38,0.38,0.38,0.38,0.38,0.38,9,43,118,1.0,15.0,32.0,222.0,214.0,248.0,499.0,572.0,848.0,794.0,646.0,593.0,129.0,122.0,111.0,654.0,1226.0,2574.0,High (>100),125.0,25.0,12.0,10.0,93129.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,3.25317,Yes,585.0,300–600 sqft,Core Outlet,JHARKHAND,Balance,yes,7454.538,,,,18785.754,1632.41,,,,,,,,1872.7254,,,5199.9948,3967.9809,,,,25016.9751,,,,,,63930.3782,5327.531517,24.58,12,East India,Retail,228.0,535.5,821.0,619.5,120.66666666666669,0.38,0.06,0.0,0.38,10.0,83.77,A,150.0,1.0,1,1.0,1.0,7696.87,2369.34,30.8,True,A+,156.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,1.0,4,4,Urban Modern Trade Premium Stock-up,"This cluster represents larger, established urban Modern Trade grocery stores with high SKU counts, 100% cooler availability, and significant premium category sales. Serving higher-income households, these outlets are key for planned purchases and stock-up missions. Commercial focus is on range, planogram compliance, and secondary displays for premium and multi-serve formats.","Ensure full range availability of multi-serve and premium SKUs, optimize planogram compliance, and secure secondary display space for promotional activities."
113600.0,2114334,Jammu,2114334,One Stop Mart,Retail,32.727786,74.849555,Jammu & Kashmir,Jammu,Jammu,Jammu,Urban,Nawabad,Grocry Dept Str (Stand-alone),Jai Beverages Pvt.Ltd-Sdp,2.9,0.34,1.01,3.65,0.02,0.0,3.82,4.51,0.25,0.0,0.0,0.0,0.0,0.0,15,66,127,1.0,1.0,1.0,12.0,16.0,29.0,20.0,38.0,31.0,42.0,32.0,34.0,31.0,21.0,14.0,139.0,188.0,160.0,Low (<30),81.0,57.0,21.0,4.0,26863.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,0.8,Yes,1130.0,1000+ sqft,Super Store,JAMMU & KASHMIR,Jammu,yes,103725.5895,,945.4536,,23105.9088,2599.9974,,15971.526,218.182,,,,7583.6346,35943.8382,9927.2732,5481.8172,37861.623,10104.3384,25254.5202,222.222,,45071.8944,,,,,,324017.8185,27001.484875,44.0,12,North India,Retail,19.0,29.0,36.5,33.0,22.0,0.0,0.34,0.0,0.25,16.0,99.03,A,15.0,1.0,1,1.0,1.0,13834.13,-13167.36,-95.2,False,A,1835.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,1.0,4,4,Urban Modern Trade Premium Stock-up,"This cluster represents larger, established urban Modern Trade grocery stores with high SKU counts, 100% cooler availability, and significant premium category sales. Serving higher-income households, these outlets are key for planned purchases and stock-up missions. Commercial focus is on range, planogram compliance, and secondary displays for premium and multi-serve formats.","Ensure full range availability of multi-serve and premium SKUs, optimize planogram compliance, and secure secondary display space for promotional activities."
116371.0,2471935,,2471935,Jai Mart,Retail,24.28021,74.991011,Madhya Pradesh,Mandsaur,Malhargarh,Malhargarh,Urban,Malhargarh,Grocry Dept Str (Stand-alone),Shree Radhe Traders,18.36,0.07,101.15,193.93,6.84,188.25,2.33,144.75,22.36,141.98,141.98,141.98,141.98,141.93,10,11,13,0.0,0.0,0.0,3.0,7.0,51.0,36.0,202.0,344.0,227.0,282.0,205.0,91.0,126.0,63.0,207.0,398.0,1040.0,High (>100),0.0,0.0,0.0,0.0,126941.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,,,Yes,750.0,600–1000 sqft,Large Outlet,MADHYA PRADESH,Balance,yes,3454.542,,,,1758.8922,181.818,266.178,,,,,,,1454.544,,,3763.6326,1231.62,,,344.2008,3390.5118,,,,,,15845.9394,1440.539945,6.91,11,MADHYA PRADESH,Retail,20.33333333333333,119.0,285.5,243.5,93.33333333333331,141.93,0.07,2.33,22.36,10.0,35.94,C,150.0,1.0,1,1.0,0.0,3002.76,1562.22,52.0,True,C+,1170.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,1.0,2,4,Urban Modern Trade Premium Stock-up,"This cluster represents larger, established urban Modern Trade grocery stores with high SKU counts, 100% cooler availability, and significant premium category sales. Serving higher-income households, these outlets are key for planned purchases and stock-up missions. Commercial focus is on range, planogram compliance, and secondary displays for premium and multi-serve formats.","Ensure full range availability of multi-serve and premium SKUs, optimize planogram compliance, and secure secondary display space for promotional activities."
121650.0,2206898,,2206898,Parvathi Super Market,Retail,12.905012,80.094253,Tamil Nadu,Kancheepuram,Tambaram,Perungalathur,Urban,Balaji Nagar (S),Grocry Dept Str (Stand-alone),Varunya Enterprises,3.24,0.13,1.46,14.36,0.53,0.17,0.14,3.52,3.52,3.52,3.52,3.52,0.0,3.52,14,24,47,0.0,2.0,4.0,40.0,55.0,57.0,135.0,180.0,258.0,293.0,344.0,320.0,53.0,58.0,46.0,397.0,633.0,551.0,Low (<30),0.0,0.0,0.0,0.0,191980.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,,,Yes,1250.0,1000+ sqft,Super Store,TAMIL NADU,Chennai,yes,26301.9504,,,,409.0905,90.909,,1745.4528,327.2724,,,349.1928,1238.376,,6047.88,,19136.7402,,15087.2606,,,172.7271,,,,,,70906.8518,6446.077436,20.27,11,South India,Retail,50.66666666666666,157.5,275.5,332.0,52.333333333333336,0.0,0.13,0.14,3.52,14.0,87.91,A,15.0,1.0,1,1.0,0.0,7219.94,773.86,10.7,True,A+,449.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,1.0,4,4,Urban Modern Trade Premium Stock-up,"This cluster represents larger, established urban Modern Trade grocery stores with high SKU counts, 100% cooler availability, and significant premium category sales. Serving higher-income households, these outlets are key for planned purchases and stock-up missions. Commercial focus is on range, planogram compliance, and secondary displays for premium and multi-serve formats.","Ensure full range availability of multi-serve and premium SKUs, optimize planogram compliance, and secure secondary display space for promotional activities."
119860.0,S01274039,Dhanbad,S01274039,A One Super,Retail,23.665619,86.147485,Jharkhand,Bokaro,Chas,Bokaro Steel City,Urban,Bokaro Steel City,Grocry Dept Str (Stand-alone),Sai Ram Enterprises - Tt,2.78,0.33,21.79,57.24,0.4,0.0,6.34,0.14,0.14,0.14,0.14,0.14,0.14,0.14,14,26,64,0.0,0.0,0.0,1281.0,2300.0,5720.0,4978.0,10229.0,15000.0,8492.0,10887.0,10073.0,4341.0,6115.0,3057.0,10471.0,20031.0,50714.0,High (>100),0.0,0.0,0.0,0.0,98250.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,,,Yes,775.0,600–1000 sqft,Large Outlet,JHARKHAND,Balance,yes,10489.3182,,,,5795.6483,272.727,100.9184,436.3632,,,,,234.5454,2290.9068,,,8685.3672,1286.1654,,,45.872,6994.4628,,,,,,36632.2947,3052.691225,20.5,12,East India,Retail,3100.333333333333,7603.5,11746.0,10480.0,4504.333333333333,0.14,0.33,0.0,0.14,14.0,66.93,B,150.0,1.0,1,1.0,0.0,6729.69,3677.0,54.6,True,B+,117.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,1.0,3,4,Urban Modern Trade Premium Stock-up,"This cluster represents larger, established urban Modern Trade grocery stores with high SKU counts, 100% cooler availability, and significant premium category sales. Serving higher-income households, these outlets are key for planned purchases and stock-up missions. Commercial focus is on range, planogram compliance, and secondary displays for premium and multi-serve formats.","Ensure full range availability of multi-serve and premium SKUs, optimize planogram compliance, and secure secondary display space for promotional activities."
120856.0,2596922,,2596922,Govind Super Market,Retail,17.767579,74.113535,Maharashtra,Satara,Koregaon,Bhaktawadi,Rural,,Grocry Dept Str (Stand-alone),S.N.Enterprises,10.17,1.46,10.18,41.3,7.43,14.58,4.3,79.82,12.13,12.13,12.13,12.13,12.13,12.13,4,7,12,0.0,0.0,0.0,2.0,2.0,3.0,6.0,0.0,42.0,68.0,54.0,104.0,32.0,30.0,12.0,47.0,96.0,161.0,Low (<30),0.0,0.0,0.0,0.0,67913.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,,,Yes,825.0,600–1000 sqft,Large Outlet,MAHARASHTRA,Balance,yes,163.6362,,,,2264.821,272.727,,,136.3635,,,,,,,,54.5454,,3541.8939,,454.55,5581.0248,,,,,,12469.5618,1385.506867,8.33,9,MAHARASHTRA,Retail,2.333333333333333,3.0,55.0,79.0,24.666666666666668,12.13,1.46,4.3,12.13,4.0,34.35,C,15.0,1.0,1,1.0,0.0,3650.53,2265.02,62.0,True,C+,591.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,0.0,2,4,Urban Modern Trade Premium Stock-up,"This cluster represents larger, established urban Modern Trade grocery stores with high SKU counts, 100% cooler availability, and significant premium category sales. Serving higher-income households, these outlets are key for planned purchases and stock-up missions. Commercial focus is on range, planogram compliance, and secondary displays for premium and multi-serve formats.","Ensure full range availability of multi-serve and premium SKUs, optimize planogram compliance, and secure secondary display space for promotional activities."
113913.0,2272135,Nagpur,2272135,Shri Balaji Mart,Retail,21.131332,79.151059,Maharashtra,Nagpur,Nagpur (Urban),Nagpur,Urban,Vatoda,Grocry Dept Str (Stand-alone),Soham Corporation,3.75,0.58,2.01,7.99,0.79,468.97,1.39,6.28,0.45,0.45,0.45,0.45,0.45,0.45,8,44,123,0.0,0.0,41.0,13.0,65.0,228.0,287.0,832.0,1289.0,845.0,1110.0,1193.0,491.0,619.0,310.0,1330.0,2838.0,3953.0,High (>100),190.0,79.0,15.0,3.0,173934.0,Yes,Yes,Yes,No,Yes,Yes,No,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,0.72589,Yes,960.0,600–1000 sqft,Large Outlet,MAHARASHTRA,Nagpur,yes,15290.8938,,,,545.454,90.909,,4018.1778,,,,,,4654.5408,,,15672.7116,109.0908,,,,763.6356,,,,,,41145.4134,3428.78445,14.33,12,MAHARASHTRA,Retail,102.0,559.5,1067.0,1151.5,473.3333333333333,0.45,0.58,1.39,0.45,8.0,70.95,B,150.0,1.0,1,1.0,1.0,5154.92,1726.13,33.5,True,B+,676.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,,,,,1.0,3,4,Urban Modern Trade Premium Stock-up,"This cluster represents larger, established urban Modern Trade grocery stores with high SKU counts, 100% cooler availability, and significant premium category sales. Serving higher-income households, these outlets are key for planned purchases and stock-up missions. Commercial focus is on range, planogram compliance, and secondary displays for premium and multi-serve formats.","Ensure full range availability of multi-serve and premium SKUs, optimize planogram compliance, and secure secondary display space for promotional activities."
119256.0,2298995,Nagpur,2298995,Sai Provision Stores Varchi Kherdi,Retail,21.112785,79.132646,Maharashtra,Nagpur,Nagpur (Urban),Nagpur,Urban,Digori,Grocry Dept Str (Stand-alone),Soham Corporation,2.87,0.19,0.32,7.06,0.54,466.18,4.19,5.67,0.09,0.09,0.09,0.09,0.09,0.09,23,76,155,5.0,11.0,60.0,43.0,110.0,339.0,324.0,831.0,1269.0,731.0,946.0,931.0,374.0,402.0,201.0,1354.0,2818.0,3446.0,High (>100),98.0,113.0,15.0,2.0,199099.0,Yes,Yes,Yes,No,Yes,Yes,No,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,0.8205,Yes,240.0,200–300 sqft,Small Outlet,MAHARASHTRA,Balance,yes,1930.1742,,640.7115,,3890.5113,1303.952,,163.6362,,,,,,,,,2327.2704,105.1388,,,231.8205,8792.8854,,,,,,19386.1003,1762.372755,15.45,11,MAHARASHTRA,Retail,164.0,577.5,1000.0,938.5,325.6666666666667,0.09,0.19,4.19,0.09,28.0,44.27,C,150.0,1.0,1,1.0,1.0,4546.88,2784.5,61.2,True,C+,291.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2.0,,,,1.0,2,4,Urban Modern Trade Premium Stock-up,"This cluster represents larger, established urban Modern Trade grocery stores with high SKU counts, 100% cooler availability, and significant premium category sales. Serving higher-income households, these outlets are key for planned purchases and stock-up missions. Commercial focus is on range, planogram compliance, and secondary displays for premium and multi-serve formats.","Ensure full range availability of multi-serve and premium SKUs, optimize planogram compliance, and secure secondary display space for promotional activities."
119409.0,1849913,Bengaluru,1849913,Hari Om Super Market,Retail,13.03846,77.664335,Karnataka,Bengaluru Urban,Bengaluru,Bengaluru,Urban,Ramamurthy Nagar,Grocry Dept Str (Stand-alone),Gayathri Marketing,1.48,0.26,0.92,2.28,0.84,0.13,2.97,2.18,0.43,0.43,0.43,0.43,0.43,0.43,7,33,75,1.0,5.0,27.0,52.0,50.0,58.0,140.0,132.0,214.0,219.0,180.0,173.0,43.0,25.0,17.0,289.0,403.0,389.0,Low (<30),0.0,0.0,0.0,0.0,453086.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,1.7,Yes,1600.0,1000+ sqft,Super Store,KARNATAKA,Bengaluru,yes,872.7264,,272.727,,3454.542,727.272,2201.856,,,,,327.273,234.5454,,,,381.8178,,490.9086,,1032.12,8254.5372,,,,,,18250.3254,2027.813933,17.22,9,West India,SC05-Retail,53.333333333333336,136.0,216.5,176.5,28.33333333333333,0.43,0.26,0.13,0.43,8.0,50.39,C,15.0,1.0,1,1.0,1.0,6707.54,4679.73,69.8,True,C+,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,1.0,2,4,Urban Modern Trade Premium Stock-up,"This cluster represents larger, established urban Modern Trade grocery stores with high SKU counts, 100% cooler availability, and significant premium category sales. Serving higher-income households, these outlets are key for planned purchases and stock-up missions. Commercial focus is on range, planogram compliance, and secondary displays for premium and multi-serve formats.","Ensure full range availability of multi-serve and premium SKUs, optimize planogram compliance, and secure secondary display space for promotional activities."
120675.0,1524037,Guntur,1524037,Sai Lashmi Dept Stores,Retail,16.301597,80.420755,Andhra Pradesh,Guntur,Guntur,Guntur,Urban,Nagarampalem,Grocry Dept Str (Stand-alone),Pranavi Associates,1.19,0.22,0.42,1.21,0.59,0.0,2.38,1.33,0.11,0.32,0.11,0.11,0.11,0.11,29,98,185,2.0,91.0,126.0,131.0,164.0,181.0,327.0,366.0,530.0,588.0,764.0,625.0,96.0,113.0,172.0,775.0,1453.0,1078.0,Medium (30 to 100),99.0,70.0,12.0,7.0,151585.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,1.9,Yes,500.0,300–600 sqft,Core Outlet,ANDHRA PRADESH,Guntur,yes,,,,,,,4728.486,,,,,,,,,,,,,,3271.1325,,,,,,,7999.6185,999.952313,8.75,8,South India,Retail,158.66666666666666,346.5,559.0,694.5,127.0,0.11,0.22,0.0,0.11,31.0,22.89,D,,1.0,1,1.0,1.0,2896.06,1896.11,65.5,True,D+,574.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,1.0,1,4,Urban Modern Trade Premium Stock-up,"This cluster represents larger, established urban Modern Trade grocery stores with high SKU counts, 100% cooler availability, and significant premium category sales. Serving higher-income households, these outlets are key for planned purchases and stock-up missions. Commercial focus is on range, planogram compliance, and secondary displays for premium and multi-serve formats.","Ensure full range availability of multi-serve and premium SKUs, optimize planogram compliance, and secure secondary display space for promotional activities."
120792.0,1927752,Surat,1927752,Ishwar Krupa Super Mart 4058,Retail,21.138099,72.82639,Gujarat,Surat,Surat City,Surat,Urban,Bamroli,Grocry Dept Str (Stand-alone),Sunrise Efficient Marketing Ltd.,5.17,0.5,1.93,5.6,8.73,52.86,4.16,2.93,0.76,0.76,0.76,0.76,0.76,0.76,13,60,119,0.0,3.0,11.0,14.0,44.0,33.0,65.0,253.0,249.0,356.0,714.0,495.0,251.0,268.0,929.0,686.0,815.0,1251.0,Medium (30 to 100),,,,,123150.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,4.2,Yes,175.0,<200 sqft,Micro Outlet,GUJARAT,Surat,yes,436.3632,,,,1145.4534,,,,,,,,,54.5454,,,,,,,140.9105,672.7266,,,,,,2449.9991,408.333183,5.86,6,GUJARAT,Retail,30.33333333333333,159.0,302.5,604.5,482.6666666666667,0.76,0.5,4.16,0.76,13.0,6.2,D,,1.0,1,1.0,1.0,1715.99,1307.66,76.2,True,D+,1295.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,,,,1.0,1,4,Urban Modern Trade Premium Stock-up,"This cluster represents larger, established urban Modern Trade grocery stores with high SKU counts, 100% cooler availability, and significant premium category sales. Serving higher-income households, these outlets are key for planned purchases and stock-up missions. Commercial focus is on range, planogram compliance, and secondary displays for premium and multi-serve formats.","Ensure full range availability of multi-serve and premium SKUs, optimize planogram compliance, and secure secondary display space for promotional activities."
115954.0,1486264,Surat,1486264,Krishna Super Stores,Retail,21.22377,72.828497,Gujarat,Surat,Surat City,Surat,Urban,Katargam,Grocry Dept Str (Stand-alone),Shreeji Enterprise,8.21,0.05,0.57,4.46,3.55,62.09,2.44,2.52,0.42,0.42,0.42,0.42,0.42,0.42,37,93,146,2.0,8.0,19.0,370.0,449.0,517.0,826.0,1306.0,1868.0,1851.0,2649.0,2379.0,680.0,538.0,662.0,1966.0,4303.0,7385.0,Medium (30 to 100),,,,,146333.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,1.8,Yes,200.0,200–300 sqft,Small Outlet,GUJARAT,Surat,yes,,,181.818,,13208.2925,181.818,,,,,,,,,,,,181.818,,,345.458,790.5144,,,,,,14889.7189,1488.97189,5.5,10,GUJARAT,Retail,445.3333333333333,1066.0,1859.5,2514.0,626.6666666666666,0.42,0.05,2.44,0.42,39.0,37.29,C,,1.0,1,1.0,1.0,1632.76,143.79,8.8,True,C+,2475.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,,,,1.0,2,4,Urban Modern Trade Premium Stock-up,"This cluster represents larger, established urban Modern Trade grocery stores with high SKU counts, 100% cooler availability, and significant premium category sales. Serving higher-income households, these outlets are key for planned purchases and stock-up missions. Commercial focus is on range, planogram compliance, and secondary displays for premium and multi-serve formats.","Ensure full range availability of multi-serve and premium SKUs, optimize planogram compliance, and secure secondary display space for promotional activities."
